subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value
27,6,"[1.67, 4.67, 7.0, 16.5, 20.0, 21.17, 23.5, 33.17, 34.0, 34.83, 43.33, 45.5, 48.33]",13,"[2.0, 4.83, 6.83, 16.5, 17.17, 19.67, 20.17, 23.83, 32.83, 34.0, 34.83, 45.17, 49.17, 55.0]",14,l2,5,1
27,7,"[6.0, 7.0, 9.33, 12.5, 13.83, 14.83, 17.5, 18.33, 19.67, 20.5, 24.0, 26.17, 28.83, 32.5, 33.5, 35.33, 38.33, 41.0, 42.17, 43.17, 45.0, 47.5, 48.33, 49.83, 53.67, 55.0, 56.0, 57.0, 58.67]",29,"[4.33, 6.0, 8.17, 9.33, 13.83, 14.83, 19.5, 20.5, 23.5, 28.17, 28.83, 32.5, 33.67, 39.33, 39.83, 45.17, 46.67, 47.67, 54.5, 55.0]",20,l2,5,1
27,8,"[5.17, 7.17, 17.5, 20.67, 23.17, 27.33, 32.17, 33.33, 35.5, 36.33, 45.5, 45.67, 47.83, 48.67, 50.83, 57.83]",16,"[6.0, 17.5, 19.5, 20.5, 23.0, 27.5, 32.0, 36.33, 38.17, 42.5, 45.83, 48.0, 50.83, 57.17, 58.67]",15,l2,5,1
28,1,"[2.67, 5.33, 15.5]",3,"[2.5, 6.33, 16.5, 19.33, 19.67]",5,l2,5,1
28,2,"[1.67, 35.5, 43.17]",3,[1.5],1,l2,5,1
28,3,"[1.33, 42.5, 44.67, 46.0]",4,"[1.33, 15.67, 46.0]",3,l2,5,1
28,4,"[6.17, 10.83, 11.0, 16.83, 17.5, 37.17, 38.17, 52.33, 52.83]",9,"[6.17, 11.0, 17.17, 17.5, 37.83, 38.17, 52.67]",7,l2,5,1
28,5,"[1.5, 22.83, 55.5, 55.83]",4,"[1.5, 22.83, 23.0, 55.83]",4,l2,5,1
28,6,"[1.5, 53.17]",2,[1.33],1,l2,5,1
28,7,"[3.33, 7.33, 12.17, 17.5, 17.67, 28.67, 29.0, 41.33]",8,"[3.33, 12.17, 13.0, 29.0, 41.33, 41.5]",6,l2,5,1
28,8,"[1.5, 14.17, 26.5, 26.67, 34.0, 34.17, 57.17, 57.33, 59.17]",9,"[2.33, 14.33, 26.67, 27.83, 34.17, 49.0, 57.17]",7,l2,5,1
29,1,"[1.83, 14.5, 36.17, 57.0]",4,"[1.67, 14.0, 17.33, 18.83, 21.33, 22.5, 24.0, 24.5, 31.5, 32.5, 36.0, 38.17, 39.5, 48.33, 56.0, 57.17]",16,l2,5,1
29,2,"[8.0, 12.17, 12.67, 17.5, 26.33, 30.67, 51.33]",7,"[1.83, 2.5, 4.5, 5.5, 8.0, 12.0, 12.83, 27.0]",8,l2,5,1
29,3,"[3.67, 14.83, 15.67, 16.33, 17.0, 17.67, 19.0, 19.5, 25.17, 30.17, 37.17, 39.0, 46.5, 56.17]",14,"[3.67, 5.33, 9.67, 15.0, 15.67, 16.33, 19.0, 21.33, 25.17, 41.17, 46.5]",11,l2,5,1
29,4,"[9.83, 11.0, 11.5, 14.83, 17.17, 52.5]",6,"[1.67, 9.83, 11.0, 15.0, 32.0, 38.33, 47.17, 52.5]",8,l2,5,1
29,5,"[18.83, 22.0, 26.83, 30.83, 49.17]",5,"[2.17, 4.17, 7.5, 10.17, 13.33, 14.83, 18.83, 22.17, 31.0]",9,l2,5,1
29,6,"[3.5, 5.0, 6.67, 8.0, 8.67, 10.83, 12.17, 16.5, 18.0, 21.0, 21.67, 23.5, 24.33, 26.17, 27.17, 28.33, 29.5, 30.67, 31.5, 33.0, 34.0, 34.67, 35.33, 36.17, 36.83, 37.83, 38.83, 39.83, 40.33, 41.5, 42.17, 43.0, 43.5, 44.33, 45.0, 45.67, 46.5, 47.0, 47.83, 48.33, 49.17, 49.5, 50.0, 50.5, 53.17]",45,"[3.5, 5.0, 6.67, 8.0, 8.67, 10.83, 11.67, 12.33, 16.67, 18.0, 21.0, 21.67, 23.5, 24.33, 26.17, 27.17, 28.33, 29.5, 30.67, 31.5, 33.0, 34.0, 34.83, 35.33, 36.17, 37.0, 37.83, 38.83, 39.83, 40.5, 41.5, 42.17, 43.0, 43.5, 44.33, 45.0, 45.67, 46.5, 47.0, 47.83, 48.33, 53.0]",42,l2,5,1
29,7,"[7.17, 15.67, 19.67, 21.33, 24.67, 25.33, 44.33, 59.83]",8,"[7.17, 15.67, 20.5, 23.33, 24.67, 25.33, 44.33, 52.17]",8,l2,5,1
29,8,"[3.67, 4.5, 9.17, 10.0, 12.0, 13.33, 14.5, 16.17, 17.33, 20.17, 20.67, 23.67, 26.33, 28.33, 31.33, 35.0, 35.67, 41.17, 42.33, 43.17, 45.0, 46.67, 49.33, 50.5, 51.83, 52.33, 54.5, 56.33, 57.33, 58.17, 59.5]",31,"[9.33, 10.0, 12.0, 14.0, 16.17, 16.67, 24.83, 26.33, 36.83, 39.0, 41.33, 45.67, 46.67, 54.5, 56.33]",15,l2,5,1
3,1,"[5.67, 6.33, 6.83, 10.17, 18.17, 22.0, 24.0, 45.0, 47.5, 49.5, 51.83, 54.0, 54.67, 59.67]",14,"[5.67, 6.33, 6.83, 10.17, 18.33, 18.5, 22.0, 24.0, 32.5, 45.0, 48.17, 49.33, 51.83, 54.0, 54.67, 59.67]",16,l2,5,1
3,2,"[20.83, 34.67, 35.17, 37.5]",4,"[20.0, 35.17, 35.67, 36.0, 37.5, 42.33]",6,l2,5,1
3,3,"[7.17, 43.5]",2,"[4.67, 5.0, 7.17, 9.83, 43.5]",5,l2,5,1
3,4,"[12.67, 40.17, 47.0, 53.0]",4,"[12.5, 24.67, 40.33, 42.33, 42.67, 50.67, 53.0]",7,l2,5,1
3,5,"[5.0, 6.67, 15.33, 27.83]",4,"[5.33, 7.17, 18.0, 27.83, 44.83]",5,l2,5,1
3,6,"[4.67, 32.0, 35.83, 37.83, 39.33, 42.33]",6,"[4.67, 32.83, 35.5, 37.83, 39.33, 42.33]",6,l2,5,1
3,7,"[12.5, 14.5, 18.17, 27.5, 31.0, 42.17, 44.83, 45.67, 48.0, 48.83, 50.5]",11,"[12.5, 27.67, 33.17, 42.17, 44.83, 49.17, 52.33]",7,l2,5,1
3,8,"[2.83, 3.83, 6.67, 8.17, 18.83, 28.5, 56.5]",7,"[2.83, 3.83, 4.83, 5.0, 6.67, 8.33, 13.33, 18.33, 28.5, 29.67, 54.0, 56.17]",12,l2,5,1
30,1,"[4.67, 10.67, 20.83, 33.67, 35.0, 40.5, 48.17, 49.17]",8,"[4.83, 13.17, 34.17, 40.5]",4,l2,5,1
30,2,"[7.0, 19.83, 47.33, 55.33]",4,[],0,l2,5,1
30,3,"[7.17, 19.33, 55.83]",3,"[9.67, 12.33, 27.5, 31.67, 37.17, 47.67]",6,l2,5,1
30,4,"[9.83, 11.67, 14.17, 38.33, 49.0, 53.83]",6,"[9.83, 11.33]",2,l2,5,1
30,5,"[7.0, 11.0, 24.83, 26.83, 50.17]",5,"[50.5, 55.33]",2,l2,5,1
30,6,"[4.0, 22.67, 25.5, 31.5, 44.83, 52.17]",6,"[31.17, 44.67, 48.5]",3,l2,5,1
30,7,"[3.33, 41.33, 52.83]",3,"[9.0, 13.67, 15.83, 24.67, 41.33, 45.5]",6,l2,5,1
30,8,"[6.83, 21.0, 39.5, 54.83]",4,[],0,l2,5,1
31,1,[5.0],1,"[6.0, 8.83, 13.83, 47.67]",4,l2,5,1
31,2,"[10.0, 27.33]",2,"[5.33, 10.17, 27.33]",3,l2,5,1
31,3,"[2.83, 16.0, 24.0, 39.67]",4,"[4.33, 16.17, 37.83]",3,l2,5,1
31,4,"[16.17, 18.5, 30.0, 48.0]",4,"[18.5, 30.5, 46.5, 48.17, 52.5]",5,l2,5,1
31,5,"[6.0, 8.33, 17.67, 25.67, 27.33, 32.17, 36.67]",7,"[6.33, 6.83, 8.33, 11.5, 25.33, 27.17, 37.17, 52.83]",8,l2,5,1
31,6,"[2.33, 2.83, 28.17, 57.83]",4,"[2.33, 2.83, 3.17, 21.0, 51.83]",5,l2,5,1
31,7,"[6.5, 10.17, 12.33, 13.33, 18.33, 30.5, 42.83]",7,"[6.67, 7.67, 9.33, 14.33, 16.5, 18.5, 30.5, 41.83]",8,l2,5,1
31,8,"[13.83, 17.17, 22.5, 34.0, 57.5]",5,"[14.17, 16.33, 17.33, 18.33, 57.5]",5,l2,5,1
32,1,"[4.0, 4.17, 6.17, 6.33, 14.17, 14.5, 15.83, 16.17, 17.33, 17.83, 20.83, 21.17, 22.0, 22.5, 24.17, 24.67, 35.67, 36.17, 41.17, 42.5, 44.17, 44.67, 45.83, 46.17, 47.33, 47.67, 57.83, 58.0]",28,"[4.0, 4.33, 7.17, 8.83, 11.83, 12.17, 12.83, 13.17, 15.83, 16.17, 22.0, 22.5, 24.67, 28.67, 29.0, 32.0, 32.33, 35.67, 36.17, 37.83, 38.17, 41.83, 42.5, 44.0, 44.67, 45.67, 46.17, 47.33, 47.67, 57.83, 58.0]",31,l2,5,1
32,2,"[23.67, 24.33, 28.83, 29.17, 37.17, 37.5, 39.17, 39.5, 40.5, 40.83]",10,"[3.33, 5.67, 8.5, 8.83, 16.0, 16.33, 20.5, 20.83, 23.67, 24.33, 27.5, 27.83, 28.83, 29.17, 33.83, 36.5, 42.17, 51.0, 51.33, 52.5, 59.0]",21,l2,5,1
32,3,"[36.17, 40.33, 43.67, 49.83, 56.33]",5,"[4.67, 11.33, 28.67, 32.83, 34.5, 43.83, 46.67, 50.67, 56.33, 57.5]",10,l2,5,1
32,4,"[7.67, 9.67, 11.83, 20.0, 23.17, 26.0, 41.0, 42.17, 45.17, 53.33, 56.17]",11,"[7.67, 9.67, 11.83, 17.5, 23.83, 26.0, 49.17, 52.0, 53.83]",9,l2,5,1
32,5,"[3.67, 14.67, 15.83, 18.5, 27.33, 36.0, 37.67, 39.0, 42.5]",9,"[3.67, 14.83, 27.83, 35.67]",4,l2,5,1
32,6,"[5.67, 49.17]",2,"[5.5, 49.17]",2,l2,5,1
32,7,"[7.33, 19.0, 27.67, 39.0]",4,"[1.17, 18.0, 23.67, 38.83, 41.17, 44.0]",6,l2,5,1
32,8,"[4.67, 9.17, 14.67, 30.5, 36.0, 57.0]",6,[],0,l2,5,1
4,1,"[2.5, 4.83]",2,"[2.67, 5.0, 7.67, 21.33, 32.33, 35.17, 36.83, 42.0, 55.33, 59.33]",10,l2,5,1
4,2,"[1.83, 6.33, 8.67, 20.33, 28.33, 32.17, 44.17, 55.0]",8,"[2.67, 6.33, 8.83]",3,l2,5,1
4,3,"[12.67, 24.5, 35.5, 37.17, 39.83, 42.33, 45.67, 46.5, 50.17, 50.5, 57.33, 58.5]",12,"[24.83, 34.0, 36.67, 39.83, 45.5, 46.5, 50.5, 51.0]",8,l2,5,1
4,4,"[7.0, 9.5, 15.33, 27.67, 30.33, 37.0, 49.33, 53.17]",8,"[16.17, 22.83, 25.33, 28.5, 30.67, 34.5, 49.83, 53.33]",8,l2,5,1
4,5,"[1.67, 29.83, 30.17, 41.67, 43.5, 51.5, 51.83, 57.0, 57.83]",9,"[21.67, 29.67, 41.83, 51.83]",4,l2,5,1
4,6,"[1.83, 18.83]",2,"[1.67, 12.33, 19.0, 24.17, 28.33, 37.33, 42.67, 46.0, 51.5]",9,l2,5,1
4,7,"[1.83, 6.83, 12.17, 19.83, 20.33, 21.5, 26.17, 32.83, 44.0, 45.0, 49.0, 49.5, 50.83, 53.17]",14,"[1.83, 3.0, 6.33, 12.17, 14.83, 17.83, 19.5, 32.33, 33.5, 34.33, 40.33, 41.67, 44.0, 45.17, 47.17, 49.0]",16,l2,5,1
4,8,"[2.0, 4.5, 7.0, 8.17, 11.17, 12.67, 19.0, 19.83, 23.33]",9,"[3.5, 4.33, 13.0, 22.0, 23.83, 38.0, 47.5, 56.0]",8,l2,5,1
5,1,"[2.5, 5.33, 6.67, 10.17, 12.5, 16.0, 30.33, 35.5, 50.5, 51.17]",10,"[2.5, 5.5, 6.83, 10.0, 12.5, 30.33, 31.33, 35.0, 50.5, 53.33]",10,l2,5,1
5,2,"[3.5, 4.5, 8.33, 8.83, 10.0, 10.67, 15.5, 17.83, 19.67, 30.5, 34.17, 39.83, 43.33, 45.67, 46.0, 48.33, 52.83, 53.17, 56.17, 57.0, 57.83]",21,"[3.5, 4.5, 8.33, 8.83, 10.0, 10.67, 15.5, 17.83, 19.67, 30.67, 34.17, 40.0, 43.33, 45.67, 46.0, 48.67, 52.67, 53.33, 56.17, 57.0, 57.83]",21,l2,5,1
5,3,"[2.5, 15.17, 20.33, 26.0, 27.33, 47.67, 49.67, 50.67]",8,"[2.5, 15.17, 49.33, 49.67, 50.67]",5,l2,5,1
5,4,"[10.0, 21.0, 30.0, 33.0, 33.5, 45.17, 46.17]",7,"[7.67, 33.33, 33.83, 56.0, 57.17, 58.67]",6,l2,5,1
5,5,"[3.0, 5.33, 6.17]",3,[3.0],1,l2,5,1
5,6,"[1.67, 2.33, 8.17, 17.83, 49.17]",5,"[1.67, 2.67, 5.33, 7.17, 8.17, 18.17, 19.33, 24.67, 26.17, 45.67, 48.67]",11,l2,5,1
5,7,"[4.0, 7.5, 10.17, 11.5, 30.33, 42.5, 45.33, 51.33]",8,"[4.0, 6.17, 7.17, 30.5, 31.5, 42.67, 44.33]",7,l2,5,1
5,8,"[5.33, 5.83, 12.17, 20.17, 22.0, 46.33, 52.5]",7,"[3.0, 5.83, 8.17, 12.17, 19.17, 19.67, 22.17, 24.67, 28.83, 30.5, 33.5, 45.83, 46.5, 52.33, 53.83, 55.5, 58.33]",17,l2,5,1
6,1,"[3.0, 3.5, 9.33, 17.0, 21.83, 33.67]",6,"[17.0, 18.83, 51.0]",3,l2,5,1
6,2,"[2.33, 20.0, 57.33]",3,"[20.0, 23.33]",2,l2,5,1
6,3,"[2.0, 5.0, 9.5]",3,"[3.67, 5.67, 9.67, 11.5, 47.0, 50.17]",6,l2,5,1
6,4,"[7.0, 10.5, 32.17, 41.67, 48.17, 52.17]",6,"[11.5, 23.67, 34.33, 54.17, 56.5]",5,l2,5,1
6,5,"[24.5, 52.67]",2,"[4.5, 24.0, 32.83, 35.33, 43.33, 44.67, 47.5, 48.0, 48.67, 53.67, 56.17]",11,l2,5,1
6,6,"[3.5, 14.17, 24.83, 28.0, 43.17, 44.67]",6,"[4.0, 15.83, 24.83, 27.33, 31.17, 34.5, 44.67]",7,l2,5,1
6,7,"[3.67, 6.17, 23.17, 43.83, 57.0]",5,"[43.17, 43.83, 57.0, 59.17]",4,l2,5,1
6,8,"[6.5, 22.0, 51.0, 54.33, 55.83]",5,[],0,l2,5,1
7,1,[],0,[],0,l2,5,1
7,2,[],0,[],0,l2,5,1
7,3,[],0,"[30.33, 30.67]",2,l2,5,1
7,4,[],0,[],0,l2,5,1
7,5,"[20.33, 23.67]",2,"[19.67, 23.67, 24.5]",3,l2,5,1
7,6,"[6.17, 51.67]",2,"[5.0, 23.0, 57.67]",3,l2,5,1
7,7,"[36.67, 51.83]",2,"[7.5, 17.83, 51.67]",3,l2,5,1
7,8,"[6.17, 14.83, 31.33, 37.17]",4,"[6.17, 24.33]",2,l2,5,1
8,1,"[5.0, 5.33, 7.33, 18.17, 40.33, 41.0]",6,"[4.83, 5.5, 6.5, 9.33, 14.17, 16.0, 18.33, 20.33, 31.83, 34.5, 40.17, 45.17]",12,l2,5,1
8,2,"[7.17, 8.67, 9.67, 16.33, 18.33, 56.17]",6,"[5.0, 7.17, 8.67, 9.5, 13.33, 16.83, 18.17, 27.83, 33.17, 43.67, 46.83, 48.33, 50.83, 54.33, 56.17]",15,l2,5,1
8,3,"[2.17, 7.67, 9.33, 11.83, 13.17, 16.33, 18.67, 22.0, 25.0, 26.17, 28.67, 33.83, 41.67, 46.33, 58.17]",15,"[2.17, 6.5, 16.33, 18.83, 21.83, 33.83, 39.33, 46.5]",8,l2,5,1
8,4,"[13.17, 15.17, 17.33, 41.33, 54.5, 55.83]",6,"[4.33, 6.67, 15.67, 19.17, 25.33, 31.0, 46.67, 54.17, 56.33]",9,l2,5,1
8,5,"[2.83, 3.5, 4.17, 9.67, 21.0, 27.33, 47.0, 49.17, 51.17, 52.83, 54.33, 54.67, 56.0]",13,"[2.5, 9.33, 13.33, 19.33, 22.83, 23.67, 27.33, 34.33, 36.17, 42.83, 44.33, 47.17, 48.33, 49.0]",14,l2,5,1
8,6,"[7.0, 10.5, 20.33, 27.0]",4,"[6.83, 8.67, 10.33, 27.5, 31.83, 39.67, 42.83, 47.83, 49.83]",9,l2,5,1
8,7,"[4.17, 10.17, 12.67, 21.33, 29.33, 35.17, 41.83, 44.33, 46.33, 47.83, 51.5]",11,"[2.0, 10.83, 13.0, 17.5, 21.67, 29.33, 34.33, 42.17, 44.33, 58.0]",10,l2,5,1
8,8,"[2.33, 7.83, 11.83, 34.0, 36.0]",5,"[2.33, 10.0, 12.17, 21.33, 28.67, 30.33, 33.67, 36.17, 37.83, 46.83, 54.33, 55.83]",12,l2,5,1
9,1,"[5.0, 5.83, 7.67, 15.83, 16.5, 23.83, 24.5, 35.33, 36.83, 38.67]",10,"[5.0, 7.83, 8.83, 9.83, 15.83, 16.5, 19.33, 20.5, 21.0, 21.67, 22.0, 23.17, 23.83, 24.5, 35.33, 38.67]",16,l2,5,1
9,2,"[29.17, 32.33, 34.67, 35.33, 39.33, 41.33, 42.67, 55.83]",8,"[11.67, 13.5, 29.0, 29.33, 34.67, 35.67, 39.33, 41.33, 42.5, 57.83]",10,l2,5,1
9,3,"[19.67, 20.83, 22.33, 23.0, 30.5, 31.67, 49.67, 50.5, 51.5, 52.0, 53.5, 54.67, 55.0, 56.83, 58.83]",15,"[19.83, 20.83, 22.33, 23.0, 30.5, 31.67, 50.83, 52.0, 53.5, 55.17]",10,l2,5,1
9,4,"[11.67, 14.5, 16.33, 19.33, 23.17, 29.33, 30.17, 31.0, 33.0, 35.67, 38.0, 42.83, 44.83, 47.83, 50.17, 53.17, 55.0, 58.0]",18,"[23.17, 29.33, 32.67, 35.83, 38.67, 43.0, 51.17, 53.17, 55.0, 58.0]",10,l2,5,1
9,5,"[4.83, 5.67, 11.17, 14.83, 19.17, 22.83, 23.83, 26.67, 27.67, 30.17, 35.83, 37.17, 56.5, 57.5]",14,"[4.83, 12.5, 15.0, 19.67, 22.67, 23.83, 24.83, 25.5, 26.67, 28.83, 29.17]",11,l2,5,1
9,6,"[3.5, 7.67, 10.0, 12.0, 15.67, 19.67, 21.67, 24.67, 31.33, 40.17, 50.67, 52.33, 54.17, 55.17]",14,"[3.67, 11.17, 12.67, 25.67, 31.5, 31.83, 40.33, 50.83, 51.67, 52.33]",10,l2,5,1
9,7,"[7.33, 10.33, 11.0, 12.83, 14.5, 18.5, 25.0, 25.5, 30.17, 30.83, 32.0, 32.67, 55.17]",13,"[7.33, 8.83, 10.17, 13.33, 14.5, 17.83, 19.17, 20.17, 21.0, 25.5, 29.83, 33.5, 39.83, 42.67, 55.5, 56.5]",16,l2,5,1
9,8,"[4.5, 6.0, 7.0, 8.83, 9.17, 12.33, 14.67, 16.5, 21.17, 24.17, 25.0, 37.5, 38.5, 40.5, 43.33, 44.67, 45.17, 46.33, 48.0, 51.5, 56.67]",21,"[7.67, 9.17, 12.33, 14.17, 16.83, 18.83, 20.33, 23.83, 25.0, 32.0, 32.67, 36.83, 37.17, 38.67, 39.83, 43.5, 46.17, 48.33, 49.5, 50.5, 51.0, 56.67]",22,l2,5,1
